автор автором авторы
авторский авторского
алексей алексей
барышня барышни
белый белом
библиотека библиотеке
блоха блоха
более более
быть будет был были было суть
вдвое вдвое
весь весь всего всех вся
взять взяли
вид вид
видать видал
вовнутрь вовнутрь
вовсе вовсе
вознаграждение вознаграждения
войско войско
волонтёр волонтером
вообще вообще
выдать выдам
выдумать выдумана
выйти вышел вышла
выплата выплаты
высокий высшей
высоко высоко
выступить выступили
выше выше
гадко гадко
говорить говорил говорили говорить говорят
год лет
голова голова
гусёк гуське
дама дамы
даром даром
дверь двери
дело дела дело
держать держала
диво диво
додуматься додуматься
доказать доказал
долго долго
доля доле
домик домик домика
допрыгнуть допрыгнуть
достаточно достаточно
достаться досталась
достояние достояние
дочка дочку
дочь дочери
древний древнего
думать думает думал
дурацкий дурацком
дурно дурно
египет египта
есть есть
ещё еще
жила жилах
задаром задаром
заметить заметили
зарекомендовать зарекомендовали
затянуть затянул
захотеть захочет
здешний здешних
зелёный зеленый
зима зима
золотой золотой
идти идут
иметь иметь
использоваться использоваться
история историю
календарь календарей
канавка канавке
карточный карточный
качество качестве
колено коленях
комар комаров
конец конце концов
король король королю
который которая которые который
кристиан кристиан
кровь кровь
крупный крупное
кузнечик кузнечик
лицевой лицевою
лицо лицо лицом
любой любым
маленький маленьким
место местах
много много
можно можно
мозг мозгами
мой моей
молодец молодцам
молчать молчать
момент момента
мочь может
мундир мундир мундире
мягкий мягкая
надо надо
назад назад
найти нашла
напечатать напечатана
написать написано
настоящий настоящие
нельзя нельзя
нечестно нечестно
низенький низенькой
ничего ничего
нужный нужна
обидно обидно
обнюхать обнюхал
обнюхивать обнюхивать
образ образом
обратить обращенных
общественный общественное
одетый одет
один одних одно
окно окна
опубликовать опубликовано
опять опять
орден ордена
оставаться оставалось остается
отличаться отличается
оформление оформление
очень очень
очутиться очутился
палочка палочкой
партия партии
перейти перешло
песенка песенку
песня песни
плечо плечах
подборка подборка
поить пою
пока пока
полагать полагали
поле поля
получить получил
полюбоваться полюбоваться
посадить посадили
послушать послушав
посмертно посмертно
посмотреть посмотреть
поступить поступила
потом потом
потому потому
похудеть похудели
поэтому поэтому
прибавить прибавил
привыкнуть привыкла
пригласить пригласили
придворный придворный
прижизненный прижизненно
прийти прийти
приличный приличен приличной
принцесса принцесса принцессы
приняться принялся
программирование программирование
произведение произведение произведений
происходить происходит
пройти прошло
прорезать прорезаны
прыгать прыгает прыгала прыгать
прыгнуть прыгнет прыгнул прыгнула
прыгун прыгуны
прыжок прыжком
прямо прямо
публикация публикации
пёс пес
раз раз
размышлять размышлять
разрешение разрешения
раскланяться раскланялась
расположиться расположился
реклама реклама
решить решили
род рода
родиться родился
рождение рожденья
сайт сайте
сверчок сверчков
свет свет свете
свободно свободно
свой своей своем свои свою
сделать сделан
сделаться сделалось
семейство семейства
сидеть сидела
сказать скажу сказал сказала
скамеечка скамеечке
смерть смерть
смола смолой
сначала сначала
собрание собранием
советник советник
согласие согласия
соображение соображения
составитель составителя
спина спине
старый старый
стать стали
степень степени
сторона стороной стороны
стоять стоял
суровый суровая
такой таким такое
там там
текст текст
тело тело
теперь теперь
течь текла
тогда тогда
только только
тот того том тот
трещать трещат
трёхэтажный трехэтажный
тяжеловесный потяжеловеснее
уверять уверял
угодить угодил
удостоиться удостоились
узнать узнать
умение умение
уметь умеет
фигура фигур
ханс ханс
хороший хорошего
хотеть хотели
человек людьми
честь чести
чужеземный чужеземное
этот эту
